ISBN,Tipo_Texto,Título,Autor,Editorial,Fecha_Edición,Lugar_Edición,Materia,Fecha_Alta
.,LITERATURA,Antología poética,1,1,1969,Buenos Aires,1,31/07/2001
950-515-107-1,LITERATURA,De mala muerte,2,2,1986,Buenos Aires,2,01/03/1996
84-261-0664-1,TEXTO NO LITERARIO,Confesiones,3,3,1986,Barcelona,3,01/03/1996
.,LITERATURA,El Capitán Veneno,4,4,1985,Buenos Aires,4,01/03/1996
.,LITERATURA,El sombrero de tres picos,4,5,1971,Buenos Aires,4,01/03/1996
.,TEXTO NO LITERARIO,Bases y puntos de partida para la organización política de la República Argentina,5,6,1981,Buenos Aires,5,01/03/1996
950-534-280-2,TEXTO NO LITERARIO,El crimen de la guerra,5,7,1994,Buenos Aires,6,01/03/1996
.,LITERATURA,Antología poética,6,8,1966,Buenos Aires,7,01/03/1996
.,TEXTO NO LITERARIO,Aritmética 1,7,9,1978,Buenos Aires,8,01/03/1996
.,TEXTO NO LITERARIO,Aritmética 2,7,9,1978,Buenos Aires,8,01/03/1996
.,TEXTO NO LITERARIO,Aritmética y álgebra 3,7,9,1968,Buenos Aires,9,01/03/1996
.,TEXTO NO LITERARIO,Aritmética y álgebra,7,9,1964,Buenos Aires,9,01/03/1996
.,TEXTO NO LITERARIO,Geometría 1,7,9,1978,Buenos Aires,10,01/03/1996
.,TEXTO NO LITERARIO,Geometría 2,7,9,1978,Buenos Aires,10,01/03/1996
.,TEXTO NO LITERARIO,Geometría 3,7,9,1978,Buenos Aires,10,01/03/1996
.,TEXTO NO LITERARIO,Geometría del espacio,7,9,1963,Buenos Aires,10,01/03/1996
950-01-0104-1,TEXTO NO LITERARIO,"Trigonometría 5 : Límites, continuidad y derivadas",7,9,1985,Buenos Aires,11,01/03/1996
950-9029-34-3,TEXTO NO LITERARIO,Geografía de América y Antártida,8,10,1987,Buenos Aires,12,01/03/1996
.,TEXTO NO LITERARIO,Pinacoteca de los genios,9,11,(197-),Buenos Aires,13,.
950-9029-27-0,TEXTO NO LITERARIO,Geografía general y regional. Asia y Africa,8,10,1988,Buenos Aires,14,01/03/1996
