Editorial,ID
Aguilar,0
De la Flor,1
Juventud,2
Colihue,3
Huemul,4
Plus Ultra,5
A-Z,6
.,7
Estrada,8
Itinerarium,9
(s.n.),10
Planeta,11
Cenit,12
Aique,13
Eudeba,14
Kapelusz,15
Sudamericana,16
Losada,17
La Cultura Argentina,18
Emecé,19
Paraninfo,20
Poseidón,21
Reverté,22
Kraft,23
Víctor P. de Zavalía,24
Abeledo-Perrot,25
El Ateneo,26
CEAL,27
Bruguera,28
Fondo de Cultura Económica,29
Abril,30
"Ergon, impr.",31
Galerna; Arca,32
Sudamericana / Planeta,33
Glauco,34
Claridad,35
Santillana,36
Troquel,37
Médica Panamericana,38
Alsina,39
Eiffel,40
Edicial Técnica,41
Publimarketing,42
Compton's Learning,43
Chinon America,44
IQmedia,45
L.V.D. Sistemas; Juan X. Gruss-Ecosofía,46
Campano,47
Argentina. Dirección Nacional del Antártico,48
Edigol,49
Alianza,50
Océano,51
Herder,52
Garnier,53
Pensamiento,54
Tor,55
Siglo XXI,56
Cinco,57
Paidós,58
Espasa-Calpe,59
Sopena,60
Langenscheidt,61
"Mercatali, impr.",62
Universitaria,63
Julio Korn,64
Caja de ahorros y Monte de Piedad de Segovia,65
Larousse,66
ESA,67
Fabril,68
HYMSA,69
Biblioteca de Novelistas Americanos,70
"Macland, impr.",71
Biblograf,72
"Victoria, impr.",73
Appleton,74
Salvat,75
Veritas,76
"El Muncial, impr.",77
Juventus,78
Paravia,79
Treves,80
Hoepli,81
Santiago Rueda,82
"Victoriano Suárez, libr.",83
Argentina. Universidad Nacional del Sur,84
Do Globo,85
Muchnik,86
Argentina. Academia de Letras,87
Tipográfica Editora Argentina,88
Swan Sonnenscheir,89
Gil,90
Hemisferio,91
Peña Lillo,92
Sintes,93
Argentina. Instituto Nacional de Investigaciones Folklóricas,94
Ferrario,95
Instituto Movilizador de Fondos Cooperativos,96
Tekne,97
El Autor,98
Hernando,99
RAE,100
Plaza y Janés,101
Kargieman,102
Poiesis,103
Sociedad Editora Americana,104
Xavier Boveda,105
Guadarrama,106
Rueda,107
Corregidor,108
UNRID,109
CEDES,110
Círculo de Lectores,111
Buenos Aires. Instituto Histórico,112
Castilla,113
Juan Muñoz Sánchez,114
Gredos,115
Espasa,116
Fax,117
"Alvarez, impr.",118
Gili,119
