ISBN,Tipo_Texto,Título,Autor,Editorial,Fecha_Edición,Lugar_Edición,Materia,Fecha_Alta
.,LITERATURA,Antología poética,"Marechal, Leopoldo (1900-1970); Andrés, Alfredo (comp. y prol.)",Aguilar,1969,Buenos Aires,- LITERATURA ARGENTINA-POESIA,31/07/2001
950-515-107-1,LITERATURA,De mala muerte,"Abós, Álvaro (1941-...)",De la Flor,1986,Buenos Aires,- LITERATURA ARGENTINA-CUENTO,01/03/1996
84-261-0664-1,TEXTO NO LITERARIO,Confesiones,"Agustín, Santo (354-430); Esclassana, A. (trad.)",Juventud,1986,Barcelona,AGUSTIN FILOSOFIA-AGUSTIN SANTO -,01/03/1996
.,LITERATURA,El Capitán Veneno,"Alarcón, Pedro Antonio de (1833-1891)",Colihue,1985,Buenos Aires,- LITERATURA ESPAÑOLA-NOVELA,01/03/1996
.,LITERATURA,El sombrero de tres picos,"Alarcón, Pedro Antonio de (1833-1891)",Huemul,1971,Buenos Aires,- LITERATURA ESPAÑOLA-NOVELA,01/03/1996
.,TEXTO NO LITERARIO,Bases y puntos de partida para la organización política de la República Argentina,"Alberdi, Juan Bautista (1810-1884)",Plus Ultra,1981,Buenos Aires, CONSTITUCION-ARGENTINA,01/03/1996
950-534-280-2,TEXTO NO LITERARIO,El crimen de la guerra,"Alberdi, Juan Bautista (1810-1884)",A-Z,1994,Buenos Aires, ETICA INTERNACIONAL GUERRA Y PAZ ETICA SOCIAL PACIFISMO,01/03/1996
.,LITERATURA,Antología poética,"Alberti, Rafael (1902-1999)",.,1966,Buenos Aires,- LITERATURA ESPAÑOLA-POESIA,01/03/1996
.,TEXTO NO LITERARIO,Aritmética 1,"Alcántara, Lidia E.",Estrada,1978,Buenos Aires, ARITMETICA-TEXTO SECUNDARIO,01/03/1996
.,TEXTO NO LITERARIO,Aritmética 2,"Alcántara, Lidia E.",Estrada,1978,Buenos Aires, ARITMETICA-TEXTO SECUNDARIO,01/03/1996
.,TEXTO NO LITERARIO,Aritmética y álgebra 3,"Alcántara, Lidia E.",Estrada,1968,Buenos Aires,  ARITMETICA-TEXTO SECUNDARIO ALGEBRA-TEXTO SECUNDARIO,01/03/1996
.,TEXTO NO LITERARIO,Aritmética y álgebra,"Alcántara, Lidia E.",Estrada,1964,Buenos Aires,  ARITMETICA-TEXTO SECUNDARIO ALGEBRA-TEXTO SECUNDARIO,01/03/1996
