Materia,ID
- LITERATURA ARGENTINA-POESIA,1
- LITERATURA ARGENTINA-CUENTO,2
AGUSTIN FILOSOFIA-AGUSTIN SANTO -,3
- LITERATURA ESPAÑOLA-NOVELA,4
 CONSTITUCION-ARGENTINA,5
 ETICA INTERNACIONAL GUERRA Y PAZ ETICA SOCIAL PACIFISMO,6
- LITERATURA ESPAÑOLA-POESIA,7
 ARITMETICA-TEXTO SECUNDARIO,8
  ARITMETICA-TEXTO SECUNDARIO ALGEBRA-TEXTO SECUNDARIO,9
 GEOMETRIA-TEXTO SECUNDARIO,10
 TRIGONOMETRIA-TEXTO SECUNDARIO,11
 GEOGRAFIA-AMERICA-TEXTO SECUNDARIO GEOGRAFIA-ANTARTIDA-TEXTO SECUNDARIO,12
 PINTURA UNIVERSAL,13
 GEOGRAFIA-ASIA-TEXTO SECUNDARIO GEOGRAFIA-AFRICA-TEXTO SECUNDARIO,14
  GEOGRAFIA-EUROPA-TEXTO SECUNDARIO GEOGRAFIA-OCEANIA-TEXTO SECUNDARIO,15
- LITERATURA ITALIANA-POESIA POESIA ITALIANA,16
 HISTORIA ANTIGUA HISTORIA MEDIEVAL,17
 HISTORIA-ARGENTINA-TEXTO SECUNDARIO HISTORIA ,18
- LITERATURA ARGENTINA-CUENTO CUENTO ARGENTINO ALVAREZ JOSÉ SIXTO SEUD FRAY MOCHO,19
- LITERATURA ARGENTINA-NOVELA NOVELA ARGENTINA,20
- LITERATURA CHILENA-NOVELA,21
- LITERATURA BRASILEÑA-NOVELA,22
  TIERRA GEOLOGIA ANTROPOLOGIA-ARGENTINA,23
BOR LITERATURA ARGENTINA-BORGES JORGE LUIS-OBRA COMPLETA,24
ANAXAGORAS FILOSOFIA-ANAXAGORAS  - aC,25
 ELECTRONICA,26
 ANALISIS MATEMATICO,27
 HISTORIA-ARGENTINA-EFEMERIDES,28
 DERECHO AERONAUTICO-ARGENTINA-CODIGO,29
 DERECHO CIVIL-ARGENTINA-CODIGO,30
- LITERATURA ESPAÑOLA-NOVELA NOVELA ESPAÑOLA,31
 DERECHO COMERCIAL-ARGENTINA-CODIGO,32
 DERECHO MINERO-ARGENTINA-CODIGO,33
 DERECHO PENAL-ARGENTINA-CODIGO,34
 DERECHO PROCESAL-ARGENTINA-CODIGO,35
- LITERATURA ARGENTINA-NOVELA,36
ARISTOTELES FILOSOFIA-ARISTOTELES - - aC,37
 DINAMICA ECONOMIA,38
  DELITO DERECHOS HUMANOS-ARGENTINA- TERRORISMO DE ESTADO-ARGENTINA - DESAPARECIDOS TORTURA CONADEP,39
 METODOLOGIA CIENCIA,40
- LITERATURA GUATEMALTECA-NOVELA,41
- LITERATURA ESPAÑOLA-TEATRO TEATRO ESPAÑOL,42
 HIGIENE-TEXTO SECUNDARIO,43
- LITERATURA FRANCESA-NOVELA,44
 DERECHO ROMANO,45
 GEOGRAFIA ECONOMICA-ARGENTINA-TEXTO SECUNDARIO,46
 GEOGRAFIA ECONOMICA,47
- LITERATURA CUBANA-NOVELA,48
- LITERATURA CUBANA-NOVELA NOVELA CUBANA,49
 LINGÜISTICA,50
 FILOSOFIA,51
- LITERATURA ARGENTINA-POESIA POESIA ARGENTINA,52
- LITERATURA ESPAÑOLA-TEATRO,53
CASTILLO LITERATURA ARGENTINA-CASTILLO ABELARDO,54
 EDUCACION CIVICA-TEXTO SECUNDARIO,55
 MANUAL NIVEL PRIMARIO-º GRADO,56
 POLITICA,57
  FISIOLOGIA HUMANA ATLETISMO,58
- PRIMEROS AUXILIOS MEDICINA,59
 CULTURA-ARGENTINA-HISTORIA,60
- LITERATURA ARGENTINA-CUENTO-ANTOLOGIA,61
- LITERATURA UNIVERSAL-CUENTO-ANTOLOGIA,62
 BIOLOGIA,63
 CONSTRUCCION INGENIERIA CIVIL,64
 FUTBOL DEPORTE-ARGENTINA BOCA JUNIORS CLUB,65
 DIBUJO TECNICO,66
 CONTABILIDAD-TEXTO SECUNDARIO,67
 ADMINISTRACION DE EMPRESAS,68
 DICCIONARIO ENCICLOPEDICO-CD ROM,69
 ENCICLOPEDIA-CD ROM,70
 MANUAL NIVEL PRIMARIO -CD ROM,71
 GEOGRAFIA-ARGENTINA-ATLAS-CD ROM,72
 GEOGRAFIA-AMERICA-ATLAS,73
 GEOGRAFIA-ANTARTIDA ARGENTINA-ATLAS,74
 GEOGRAFIA UNIVERSAL-ATLAS,75
 VIAJES DE DESCUBRIMIENTO-ATLAS,76
 POLITICA INTERNACIONAL-ATLAS,77
FERNANDEZ METAFISICA,78
 GEOGRAFIA-ARGENTINA-ATLAS,79
  GEOGRAFIA UNIVERSAL-ATLAS GEOGRAFIA-ARGENTINA-ATLAS-,80
  ALEMAN-ESPAÑOL-DICCIONARIO ESPAÑOL-ALEMAN-DICCIONARIO,81
 SOCIOLOGIA DE LA EDUCACION,82
 PEDAGOGIA,83
- LITERATURA ESPAÑOLA-POESIA POESIA ESPAÑOLA,84
 EMOCIONES PSICOLOGIA AMOR ARTE DE AMAR,85
 ACTITUD SOCIAL SOCIOLOGIA,86
  INGLES-ESPAÑOL-DICCIONARIO ESPAÑOL-INGLES-DICCIONARIO,87
 ARAUCANO-ESPAÑOL-DICCIONARIO MAPUCHE-ESPAÑOL-DICCIONARIO,88
  FRANCES-ESPAÑOL-DICCIONARIO ESPAÑOL-FRANCES-DICCIONARIO,89
 DERECHO ADMINISTRATIVO LEGISLACION FISCAL,90
 DERECHO COMERCIAL-TEXTO SECUNDARIO,91
 DERECHO PENAL-ARGENTINA,92
 ECONOMIA-TEXTO SECUNDARIO,93
- LITERATURA COLOMBIANA-NOVELA,94
LEVENE AUTOBIOGRAFIAS-LEVENE GUSTAVO GABRIEL MEMORIAS,95
 FRANCES-ESPAÑOL-DICCIONARIO TECNICO,96
  GRIEGO-ESPAÑOL-DICCIONARIO ESPAÑOL-GRIEGO-DICCIONARIO,97
  GUARANI LINGÜISTICA-DICCIONARIO ESPAÑOL-GUARANI-DICCIONARIO,98
 INGLES-ESPAÑOL-DICCIONARIO,99
 GEOGRAFIA-ARGENTINA-TEXTO SECUNDARIO,100
 FISICOQUIMICA,101
 PROBABILIDAD MATEMATICA,102
- LITERATURA ALEMANA-TEATRO TEATRO ALEMAN,103
- LITERATURA ALEMANA-NOVELA NOVELA ALEMANA,104
 HISTORIA ANTIGUA-TEXTO SECUNDARIO,105
 BIOGRAFIAS-ARGENTINA-DICCIONARIO,106
 INGLES-DICCIONARIO DIFICULTADES-INGLES-DICCIONARIO,107
 INGLES-MODISMOS-DICCIONARIO,108
